model_key,model_name,baseline_accuracy,baseline_roc_auc,baseline_pr_auc,baseline_recall,baseline_f1,age_specialist_accuracy,age_specialist_roc_auc,age_specialist_pr_auc,age_specialist_recall,age_specialist_f1,delta_accuracy,delta_roc_auc,delta_pr_auc,delta_recall,delta_f1
logistic_regression,Logistic Regression,0.8840579710144928,0.9396886125724002,0.9494716746470738,0.8954248366013072,0.8954248366013072,0.8840579710144928,0.9223125564588979,0.9117912832369091,0.8954248366013072,0.8954248366013072,0.0,-0.017376056113502347,-0.03768039141016477,0.0,0.0
random_forest,Random Forest,0.9094202898550725,0.9492534141027685,0.9549133661632344,0.9215686274509803,0.9185667752442996,0.8695652173913043,0.9244912056963707,0.918392954719828,0.8823529411764706,0.8823529411764706,-0.03985507246376818,-0.024762208406397868,-0.03652041144340645,-0.039215686274509776,-0.036213834067829076
xgboost,XGBoost,0.8913043478260869,0.9401668526489187,0.9515630894386249,0.8954248366013072,0.9013157894736842,0.8405797101449275,0.9062649450023912,0.9024335238514484,0.8496732026143791,0.8552631578947368,-0.050724637681159424,-0.03390190764652756,-0.049129565587176516,-0.045751633986928164,-0.046052631578947345
lightgbm,LightGBM,0.8623188405797102,0.9280514373771188,0.9418845121416641,0.8562091503267973,0.8733333333333333,0.8405797101449275,0.9049365003453955,0.90770589319543,0.8300653594771242,0.8523489932885906,-0.021739130434782705,-0.023114937031723293,-0.034178618946234085,-0.02614379084967311,-0.0209843400447427
svm,Support Vector Machine (SVM),0.9094202898550725,0.947553004941814,0.9452546934432895,0.9411764705882353,0.9201277955271565,0.894927536231884,0.9344279717306977,0.9256812279746088,0.9084967320261438,0.9055374592833876,-0.01449275362318847,-0.013125033211116355,-0.019573465468680662,-0.0326797385620915,-0.014590336243768931
mlp,Artificial Neural Network (MLP),0.8369565217391305,0.9177427068388329,0.9380962845366329,0.9019607843137255,0.8598130841121495,0.8478260869565217,0.896965832403422,0.9250524349434139,0.8823529411764706,0.8653846153846154,0.010869565217391242,-0.020776874435410875,-0.013043849593218915,-0.019607843137254943,0.005571531272465902
knn,K-Nearest Neighbors (KNN),0.8876811594202898,0.9330995270737021,0.9268708777759194,0.8758169934640523,0.8963210702341137,0.8623188405797102,0.9232690366119349,0.9345553740099235,0.8627450980392157,0.8741721854304636,-0.0253623188405796,-0.009830490461767205,0.0076844962340041345,-0.013071895424836555,-0.02214888480365007
decision_tree,Decision Tree,0.8659420289855072,0.8929804984324353,0.8764824036877872,0.8562091503267973,0.8762541806020067,0.8333333333333334,0.8586800573888091,0.8269540546979495,0.8169934640522876,0.8445945945945946,-0.032608695652173836,-0.03430044104362617,-0.04952834898983771,-0.039215686274509776,-0.03165958600741203
naive_bayes,Naive Bayes,0.8804347826086957,0.9078590785907859,0.866771080212659,0.9019607843137255,0.8932038834951457,0.8514492753623188,0.8837876614060258,0.8240845839892377,0.8366013071895425,0.8619528619528619,-0.02898550724637683,-0.024071417184760024,-0.042686496223421355,-0.065359477124183,-0.03125102154228376
catboost,CatBoost,0.8840579710144928,0.9455337690631809,0.9559004469701075,0.8888888888888888,0.8947368421052632,0.8659420289855072,0.9180083957702322,0.9123442813117825,0.8758169934640523,0.8786885245901639,-0.018115942028985588,-0.027525373292948685,-0.043556165658324986,-0.013071895424836555,-0.016048317515099275
adaboost,AdaBoost,0.894927536231884,0.9426111908177905,0.9514053404354879,0.8888888888888888,0.9036544850498339,0.8623188405797102,0.9188054625644295,0.9191761480411436,0.8758169934640523,0.8758169934640523,-0.032608695652173836,-0.023805728253361025,-0.0322291923943443,-0.013071895424836555,-0.027837491585781637
